"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00812","Taxa00812","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa00813","Taxa00813","","","","","","","","","","","","","","","",""
"Taxa00814","Taxa00814","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","","",""
"Taxa00815","Taxa00815","Eukaryota","Fungi","Dikarya","Basidiomycota","Exobasidiomycetes","","Exobasidiales","","Cryptobasidiaceae","","","Clinoconidium","","","",""
"Taxa00816","Taxa00816","","","","","","","","","","","","","","","",""
"Taxa00817","Taxa00817","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","Dothideomycetes sp.","",""
"Taxa00818","Taxa00818","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa00819","Taxa00819","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Schizophyllaceae","","","Schizophyllum","","","",""
"Taxa00820","Taxa00820","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa00821","Taxa00821","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa00822","Taxa00822","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa00823","Taxa00823","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Microdochiaceae","","","Microdochium","","Microdochium fisheri","",""
"Taxa00824","Taxa00824","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Toxicocladosporium","","","",""
"Taxa00825","Taxa00825","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa00826","Taxa00826","","","","","","","","","","","","","","","",""
"Taxa00827","Taxa00827","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Schizophyllaceae","","","Schizophyllum","","","",""
"Taxa00828","Taxa00828","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco01","",""
"Taxa00829","Taxa00829","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","Diplomitoporus","","Diplomitoporus rimosus","",""
"Taxa00830","Taxa00830","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa00831","Taxa00831","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","","","","","","","",""
"Taxa00832","Taxa00832","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","Helotiales","","Helotiaceae","","","Claussenomyces","","Claussenomyces sp.","",""
"Taxa00833","Taxa00833","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00834","Taxa00834","","","","","","","","","","","","","","","",""
"Taxa00835","Taxa00835","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Paraphaeosphaeria","","","",""
"Taxa00836","Taxa00836","Eukaryota","Fungi","Dikarya","Basidiomycota","Atractiellomycetes","","Atractiellales","","Helicogloeaceae","","","Helicogloea","","","",""
"Taxa00837","Taxa00837","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00838","Taxa00838","","","","","","","","","","","","","","","",""
"Taxa00839","Taxa00839","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","Symmetrosporaceae","","","Symmetrospora","","","",""
"Taxa00840","Taxa00840","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","Trametes","","","",""
"Taxa00841","Taxa00841","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00842","Taxa00842","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Dothideales","","Saccotheciaceae","","","Aureobasidium","","","",""
"Taxa00843","Taxa00843","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Glomerellales","","Glomerellaceae","","","Colletotrichum","","","",""
"Taxa00844","Taxa00844","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Clavariaceae","","","Mucronella","","","",""
"Taxa00845","Taxa00845","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Bulleribasidium","","Bulleribasidium foliicola","",""
"Taxa00846","Taxa00846","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa00847","Taxa00847","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","","",""
"Taxa00848","Taxa00848","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa00849","Taxa00849","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Bionectriaceae","","","Clonostachys","","","",""
"Taxa00850","Taxa00850","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00851","Taxa00851","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00852","Taxa00852","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa00853","Taxa00853","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00854","Taxa00854","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Pleosporaceae","","","Curvularia","","","",""
"Taxa00855","Taxa00855","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","","","Chrysozymaceae","","","Sampaiozyma","","","",""
"Taxa00856","Taxa00856","","","","","","","","","","","","","","","",""
"Taxa00857","Taxa00857","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Cystofilobasidiales","","Cystofilobasidiaceae","","","Cystofilobasidium","","","",""
"Taxa00858","Taxa00858","","","","","","","","","","","","","","","",""
"Taxa00859","Taxa00859","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
