"query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species"
"Taxa00270","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","Chlamydomonas applanata"
"Taxa00271","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00272","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00273","Eukaryota","","","Euglenida","","","","","","Euglenales","","","","","","","","","",""
"Taxa00274","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00275","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00276","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","",""
"Taxa00277","Bacteria","","","","","","","","","","","","","","","","","","",""
"Taxa00278","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00279","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00280","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00281","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00282","","","","","","","","","","","","","","","","","","","",""
"Taxa00283","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00284","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00285","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00286","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00287","Eukaryota","","","","","","","","","","","","","","Nucleariidae","","","Nuclearia","",""
"Taxa00288","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Microglena","",""
"Taxa00289","Eukaryota","","","","","","","","","","","","","","Paramoebidae","","","Korotnevella","",""
"Taxa00290","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00291","Eukaryota","","","","","","","","","","","","","","Mastigamoebidae","","","Mastigamoeba","",""
"Taxa00292","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","","",""
"Taxa00293","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00294","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00295","Eukaryota","","","","","","","","","","","","","","Nucleariidae","","","Nuclearia","",""
"Taxa00296","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","",""
"Taxa00297","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00298","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00299","Eukaryota","Viridiplantae","","Streptophyta","","Liliopsida","Petrosaviidae","","","Poales","","","","","","","","","",""
"Taxa00300","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00301","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00302","Bacteria","","","Verrucomicrobia","","Verrucomicrobiae","","","","Verrucomicrobiales","","","","","Verrucomicrobiaceae","","","Prosthecobacter","",""
"Taxa00303","Eukaryota","Fungi","","Zoopagomycota","","Entomophthoromycetes","","","","Entomophthorales","","","","","Entomophthoraceae","","","","",""
"Taxa00304","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00305","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00306","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","Eriophyidae","Phyllocoptinae","Anthocoptini","","",""
"Taxa00307","Eukaryota","Metazoa","","Platyhelminthes","","Catenulida","","","","","","","","","Stenostomidae","","","Stenostomum","",""
"Taxa00308","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Sphingomonadales","","","","","","","","","",""
"Taxa00309","Eukaryota","Fungi","Dikarya","Ascomycota","","Dothideomycetes","Pleosporomycetidae","","","Pleosporales","","","","","","","","","",""
"Taxa00310","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Tremellales","","","","","","","","","",""
"Taxa00311","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00312","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00313","Bacteria","","","Proteobacteria","","","","","","","","","","","","","","","",""
"Taxa00314","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00315","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00316","Eukaryota","","","Bacillariophyta","","","","","","","","","","","","","","","",""
"Taxa00317","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00318","Eukaryota","","","","","Colpodea","","","","Colpodida","","","","","","","","","",""
"Taxa00319","Eukaryota","Viridiplantae","","Chlorophyta","","Ulvophyceae","","","","Ulotrichales","","","","","","","","","",""
"Taxa00320","Eukaryota","","","","","","","","","Longamoebia","","","","","Acanthamoebidae","","","Protacanthamoeba","",""
"Taxa00321","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00322","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Rhodospirillales","","","","","Rhodospirillaceae","","","Azospirillum","",""
"Taxa00323","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Sarcoptiformes","Oribatida","Enarthronota","","Brachychthonioidea","Brachychthoniidae","","","","",""
"Taxa00324","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","",""
"Taxa00325","Eukaryota","","","","","Chrysophyceae","","","","","","","","","","","","","",""
"Taxa00326","Eukaryota","","","Cryptophyta","","","","","","Cryptomonadales","","","","","Goniomonadaceae","","","Goniomonas","",""
"Taxa00327","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Sphaeropleales","","","","","Scenedesmaceae","","","","",""
"Taxa00328","Eukaryota","","","","","Spirotrichea","Stichotrichia","","","","","","","","","","","","",""
"Taxa00329","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","","","","","","","","","","",""
"Taxa00330","Eukaryota","Viridiplantae","","Streptophyta","","","Pinidae","","","Pinales","","","","","Pinaceae","","","Pinus","",""
"Taxa00331","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00332","","","","","","","","","","","","","","","","","","","",""
"Taxa00333","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Polytomella","",""
"Taxa00334","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Cystofilobasidiales","","","","","Mrakiaceae","","","Udeniomyces","",""
"Taxa00335","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00336","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00337","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","","","","","",""
"Taxa00338","Bacteria","","","Proteobacteria","","Gammaproteobacteria","","","","Pseudomonadales","","","","","Pseudomonadaceae","","","","",""
"Taxa00339","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
"Taxa00340","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00341","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00342","","","","","","","","","","","","","","","","","","","",""
"Taxa00343","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00344","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","Polyporales","","","","","","","","","",""
"Taxa00345","Eukaryota","Viridiplantae","","Chlorophyta","","Trebouxiophyceae","","","","","","","","","","","","","",""
"Taxa00346","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00347","Eukaryota","","","","","","","","","Arcellinida","","","","","","","","","",""
"Taxa00348","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
"Taxa00349","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Rhodobacterales","","","","","Rhodobacteraceae","","","Rhodobacter","",""
"Taxa00350","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00351","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Sphaeropleales","","","","","Scenedesmaceae","","","","",""
"Taxa00352","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00353","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00354","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00355","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","","","","","","","","","","",""
"Taxa00356","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00357","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","",""
"Taxa00358","","","","","","","","","","","","","","","","","","","",""
"Taxa00359","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00360","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","",""
"Taxa00361","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00362","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00363","Eukaryota","","","Euglenida","","","","","","Eutreptiales","","","","","Astasiaceae","","","Rhabdomonas","",""
"Taxa00364","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","","","","","","","","","","",""
"Taxa00365","Eukaryota","","","","","","","","","","","","","","Vannellidae","","","","",""
"Taxa00366","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00367","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00368","Bacteria","","","Proteobacteria","","Deltaproteobacteria","","","","","","","","","","","","","",""
"Taxa00369","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Mammalia","","","","","","","","","","","","","",""
"Taxa00370","Eukaryota","","","Apicomplexa","","Conoidasida","Gregarinasina","","","","","","","","","","","Nematopsis","","Nematopsis temporariae"
"Taxa00371","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00372","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","",""
"Taxa00373","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","Adinetida","","","","","Adinetidae","","","Adineta","",""
"Taxa00374","Eukaryota","","","","","Chrysophyceae","","","","","","","","","","","","","","Chrysophyceae sp."
"Taxa00375","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00376","","","","","","","","","","","","","","","","","","","",""
"Taxa00377","Eukaryota","","","Apicomplexa","","Conoidasida","Gregarinasina","","","","","","","","","","","Nematopsis","","Nematopsis temporariae"
"Taxa00378","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","",""
"Taxa00379","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00380","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00381","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","","","","","",""
"Taxa00382","","","","","","","","","","","","","","","","","","","",""
"Taxa00383","Eukaryota","Viridiplantae","","Chlorophyta","","Trebouxiophyceae","","","","","","","","","","","","","",""
"Taxa00384","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00385","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","Neobodo","","Neobodo designis"
"Taxa00386","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00387","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00388","Eukaryota","Metazoa","","Platyhelminthes","","Catenulida","","","","","","","","","Stenostomidae","","","Stenostomum","",""
"Taxa00389","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00390","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00391","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00392","Eukaryota","","","","","Dinophyceae","","","","","","","","","","","","","",""
"Taxa00393","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00394","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","",""
"Taxa00395","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00396","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Sarcoptiformes","Oribatida","Brachypylina","","Oripodoidea","Liebstadiidae","","","","",""
"Taxa00397","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00398","","","","","","","","","","","","","","","","","","","",""
"Taxa00399","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","",""
"Taxa00400","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","","",""
"Taxa00401","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","Pythium","",""
"Taxa00402","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00403","Eukaryota","","","","","Heterolobosea","","","","","","","","","","","","","",""
"Taxa00404","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","","","","","",""
"Taxa00405","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Rhodospirillales","","","","","Rhodospirillaceae","","","Azospirillum","",""
"Taxa00406","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","",""
"Taxa00407","Eukaryota","","","Euglenida","","","","","","Euglenales","","","","","","","","","",""
"Taxa00408","Eukaryota","","","","","Heterolobosea","","","","Schizopyrenida","","","","","Vahlkampfiidae","","","Naegleria","",""
"Taxa00409","Eukaryota","Metazoa","","Platyhelminthes","","Catenulida","","","","","","","","","Stenostomidae","","","Stenostomum","","Stenostomum leucops"
"Taxa00410","Bacteria","","","Proteobacteria","","Betaproteobacteria","","","","","","","","","","","","","",""
"Taxa00411","Eukaryota","Fungi","Dikarya","Ascomycota","","Dothideomycetes","Pleosporomycetidae","","","Pleosporales","","","","","","","","","",""
"Taxa00412","Eukaryota","Fungi","Dikarya","Ascomycota","","Eurotiomycetes","Eurotiomycetidae","","","Eurotiales","","","","","","","","","",""
"Taxa00413","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00414","Bacteria","","","Proteobacteria","","Betaproteobacteria","","","","","","","","","","","","","",""
"Taxa00415","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Tremellales","","","","","","","","","",""
"Taxa00416","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","","","","","","","","","","",""
"Taxa00417","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00418","","","","","","","","","","","","","","","","","","","",""
"Taxa00419","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Mammalia","","","","","","","","","","","","","",""
"Taxa00420","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00421","Bacteria","","","Proteobacteria","","Deltaproteobacteria","","","","","","","","","","","","","",""
"Taxa00422","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00423","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","",""
"Taxa00424","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","","",""
"Taxa00425","","","","","","","","","","","","","","","","","","","",""
"Taxa00426","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00427","","","","","","","","","","","","","","","","","","","",""
"Taxa00428","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","","","","","","","","","","",""
"Taxa00429","Bacteria","","","","","","","","","","","","","","","","","","",""
"Taxa00430","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Sphingomonadales","","","","","Sphingomonadaceae","","","","",""
"Taxa00431","Eukaryota","Fungi","Dikarya","Ascomycota","","Dothideomycetes","Pleosporomycetidae","","","Pleosporales","Pleosporineae","","","","","","","","",""
"Taxa00432","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00433","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00434","","","","","","","","","","","","","","","","","","","",""
"Taxa00435","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","","",""
"Taxa00436","","","","","","","","","","","","","","","","","","","",""
"Taxa00437","","","","","","","","","","","","","","","","","","","",""
"Taxa00438","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00439","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00440","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","Poduromorpha","","","","Poduroidea","","","","","",""
"Taxa00441","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00442","","","","","","","","","","","","","","","","","","","",""
"Taxa00443","Eukaryota","Viridiplantae","","Chlorophyta","","Ulvophyceae","","","","Ulotrichales","","","","","","","","","",""
"Taxa00444","","","","","","","","","","","","","","","","","","","",""
"Taxa00445","Eukaryota","Viridiplantae","","Chlorophyta","","Ulvophyceae","","","","Ulotrichales","","","","","","","","","",""
"Taxa00446","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00447","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00448","","","","","","","","","","","","","","","","","","","",""
"Taxa00449","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00450","Eukaryota","","","Bacillariophyta","","Bacillariophyceae","","","","","","","","","","","","","",""
"Taxa00451","Bacteria","","","Proteobacteria","","","","","","","","","","","","","","","",""
"Taxa00452","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00453","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00454","Eukaryota","Viridiplantae","","Streptophyta","","","","","","","","","","","","","","","",""
"Taxa00455","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Rhizobiales","","","","","","","","","",""
"Taxa00456","Eukaryota","","","","","","","","","","","","","","Paramoebidae","","","Korotnevella","",""
"Taxa00457","","","","","","","","","","","","","","","","","","","",""
"Taxa00458","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00459","Eukaryota","","","","","","","","","Aquavolonida","","","","","","","","Aquavolon","",""
"Taxa00460","Eukaryota","Fungi","Dikarya","Ascomycota","","Dothideomycetes","Dothideomycetidae","","","Dothideales","","","","","Dothioraceae","","","Hormonema","",""
"Taxa00461","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00462","","","","","","","","","","","","","","","","","","","",""
"Taxa00463","Eukaryota","","","Apicomplexa","","Conoidasida","Gregarinasina","","","","","","","","","","","","",""
"Taxa00464","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
"Taxa00465","Eukaryota","Viridiplantae","","Chlorophyta","","","","","","","","","","","","","","","",""
"Taxa00466","","","","","","","","","","","","","","","","","","","",""
"Taxa00467","Eukaryota","Viridiplantae","","Streptophyta","","Liliopsida","Petrosaviidae","","","Poales","","","","","Poaceae","","","","",""
"Taxa00468","Bacteria","","","Proteobacteria","","Gammaproteobacteria","","","","","","","","","","","","","",""
"Taxa00469","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","",""
"Taxa00470","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00471","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","Rhizobiales","","","","","","","","","",""
"Taxa00472","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00473","","","","","","","","","","","","","","","","","","","",""
"Taxa00474","","","","","","","","","","","","","","","","","","","",""
"Taxa00475","Eukaryota","","","","","Ichthyosporea","","","","Ichthyophonida","","","","","","","","Anurofeca","",""
"Taxa00476","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00477","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00478","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","",""
"Taxa00479","","","","","","","","","","","","","","","","","","","",""
"Taxa00480","Bacteria","","","Actinobacteria","","Actinobacteria","","","","","","","","","","","","","","uncultured actinobacterium"
"Taxa00481","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00482","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00483","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00484","Eukaryota","","","Euglenida","","","","","","Eutreptiales","","","","","Astasiaceae","","","Rhabdomonas","",""
"Taxa00485","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00486","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00487","Eukaryota","","","","","","","","","Vampyrellida","","","","","Leptophryidae","","","","",""
"Taxa00488","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00489","Bacteria","","","Proteobacteria","","Gammaproteobacteria","","","","","","","","","","","","","",""
"Taxa00490","Eukaryota","Viridiplantae","","Streptophyta","","","","","","","","","","","","","","","",""
"Taxa00491","Eukaryota","Fungi","Dikarya","Basidiomycota","","Microbotryomycetes","","","","Sporidiobolales","","","","","","","","","",""
"Taxa00492","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00493","","","","","","","","","","","","","","","","","","","",""
"Taxa00494","Eukaryota","Fungi","Dikarya","Ascomycota","","Eurotiomycetes","Eurotiomycetidae","","","Eurotiales","","","","","Aspergillaceae","","","","",""
"Taxa00495","Eukaryota","","","","","Oomycetes","","","","Lagenidiales","","","","","Lagenidiaceae","","","Lagenidium","",""
"Taxa00496","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00497","","","","","","","","","","","","","","","","","","","",""
"Taxa00498","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Tremellales","","","","","","","","","",""
"Taxa00499","Eukaryota","Fungi","","Zoopagomycota","","Entomophthoromycetes","","","","Entomophthorales","","","","","Entomophthoraceae","","","","",""
"Taxa00500","","","","","","","","","","","","","","","","","","","",""
"Taxa00501","Eukaryota","Fungi","Dikarya","Ascomycota","","Eurotiomycetes","Eurotiomycetidae","","","","","","","","","","","","",""
"Taxa00502","Bacteria","","","Proteobacteria","","Betaproteobacteria","","","","","","","","","","","","","",""
"Taxa00503","Bacteria","","","Verrucomicrobia","","Verrucomicrobiae","","","","Verrucomicrobiales","","","","","Verrucomicrobiaceae","","","","","uncultured Verrucomicrobiaceae bacterium"
"Taxa00504","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","",""
"Taxa00505","Bacteria","","","","","","","","","","","","","","","","","","",""
"Taxa00506","Eukaryota","","","","","","","","","Kinetoplastida","","","","","","","","","",""
"Taxa00507","","","","","","","","","","","","","","","","","","","",""
"Taxa00508","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00509","Eukaryota","","","Bacillariophyta","","","","","","","","","","","","","","","",""
"Taxa00510","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00511","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","","","","","",""
"Taxa00512","","","","","","","","","","","","","","","","","","","",""
"Taxa00513","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
"Taxa00514","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00515","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00516","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Tremellales","","","","","","","","","",""
"Taxa00517","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00518","Bacteria","","","Proteobacteria","","Betaproteobacteria","","","","","","","","","","","","","",""
"Taxa00519","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00520","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00521","","","","","","","","","","","","","","","","","","","",""
"Taxa00522","Bacteria","","","","","","","","","","","","","","","","","","",""
"Taxa00523","Eukaryota","","","Cryptophyta","","","","","","Cryptomonadales","","","","","Cryptomonadaceae","","","Cryptomonas","","Cryptomonas paramecium"
"Taxa00524","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum",""
"Taxa00525","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00526","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Mammalia","","","","","","","","","","","","","",""
"Taxa00527","Eukaryota","","","","","Chrysophyceae","","","","","","","","","","","","","",""
"Taxa00528","Eukaryota","Fungi","Dikarya","Basidiomycota","","Tremellomycetes","","","","Tremellales","","","","","","","","","",""
"Taxa00529","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","",""
"Taxa00530","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Sphaeropleales","","","","","Scenedesmaceae","","","","",""
"Taxa00531","","","","","","","","","","","","","","","","","","","",""
"Taxa00532","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Thysanoptera","Terebrantia","","","Thripoidea","Thripidae","Thripinae","","","",""
"Taxa00533","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00534","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","","","","","","","","","","",""
"Taxa00535","Bacteria","","","Proteobacteria","","Alphaproteobacteria","","","","","","","","","","","","","",""
"Taxa00536","","","","","","","","","","","","","","","","","","","",""
"Taxa00537","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00538","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","Agaricomycetidae","","","Agaricales","","","","","","","","","",""
"Taxa00539","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Orthocladiinae","","","",""
"Taxa00540","Eukaryota","","","","","Spirotrichea","Stichotrichia","","","","","","","","","","","","",""
"Taxa00541","","","","","","","","","","","","","","","","","","","",""
"Taxa00542","Eukaryota","","","","","","","","","Choanoflagellida","","","","","","","","","",""
"Taxa00543","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00544","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","","","",""
