"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-06-16,2019-06-16 09:07:00,"7","CT",40.9,46.4,41.6,35.6,36.5,33.8,0.598337950138506,0.797783933518003,2.29362880886426,-0.698060941828258,0.797783933518003,0.199445983379504
2019-06-16,2019-06-16 09:08:00,"8","PN",40.9,45.2,43.7,34.2,32.9,36.3,0.199445983379504,0.398891966759001,0.598337950138498,-0.598337950138506,2.69252077562327,0.0997229916897521
2019-06-16,2019-06-16 09:09:00,"9","RM",37.2,37.8,35.9,33.1,34.4,35,1.69529085872576,0.698060941828251,1.29639889196676,-2.89196675900277,0.598337950138498,-4.18836565096953
2019-06-17,2019-06-17 08:51:00,"1","CT",37.6,39.5,41.2,34.6,34.5,35.1,2.11913104414856,0.302733006306935,1.31184302733007,0,-4.74281709880869,0.302733006306942
2019-06-17,2019-06-17 08:51:00,"2","PN",44.2,39.5,42.9,33.5,33.6,35.9,0,0,-0.201822004204628,0.908199018920819,0.706377014716191,1.21093202522775
2019-06-17,2019-06-17 08:52:00,"3","RM",42,46.3,41,35.1,34.5,32.6,2.32095304835319,0,0.302733006306942,-0.807288016818497,1.61457603363699,-3.63279607568325
2019-06-17,2019-06-17 08:52:00,"4","CT",42.3,41.6,40.7,35.1,33.1,36,-0.100911002102314,0.504555010511563,2.4218640504555,-0.807288016818505,-1.00911002102313,3.43097407147863
2019-06-17,2019-06-17 08:53:00,"5","PN",40.7,42.5,41.1,36.3,34.4,33.8,2.11913104414856,1.21093202522775,0.908199018920811,0.100911002102314,0.807288016818497,1.31184302733007
2019-06-17,2019-06-17 08:54:00,"6","RM",41.7,44.4,44.6,37.6,33.2,34.1,1.00911002102313,-0.100911002102307,-0.100911002102314,0.302733006306942,0.605466012613877,1.21093202522775
2019-06-17,2019-06-17 08:54:00,"7","CT",40.9,44.6,42.8,37.2,36.5,34.4,1.614576033637,0,0.605466012613877,0,-1.81639803784162,1.21093202522775
2019-06-17,2019-06-17 08:55:00,"8","PN",42.6,43.5,44,34.2,32.7,36.6,0,-0.201822004204621,0.302733006306942,1.71548703573932,-1.71548703573932,0.302733006306935
2019-06-17,2019-06-17 08:56:00,"9","RM",38,38.7,37.2,34.9,34.6,36.8,1.81639803784162,0.201822004204628,1.81639803784162,0.807288016818497,0.908199018920819,1.31184302733007
2019-06-18,2019-06-18 08:51:00,"1","CT",38.3,40.7,41.6,36.6,36.1,36.1,2,1.6,1,0.699999999999996,1.2,0.399999999999999
2019-06-18,2019-06-18 08:51:00,"2","PN",40.5,38.3,41.2,36.1,35,36,2.6,1.4,0.100000000000001,-3.7,-1.2,-1.7
2019-06-18,2019-06-18 08:52:00,"3","RM",41.3,42.7,43.1,37.1,36.6,34.5,2,2.1,1.9,-0.700000000000003,-3.59999999999999,2.1
2019-06-18,2019-06-18 08:52:00,"4","CT",41,40.3,38.9,36.1,35.1,37.7,1,2,1.7,-1.3,-1.3,-1.8
2019-06-18,2019-06-18 08:53:00,"5","PN",43.6,40.6,40.6,38,35.3,34.6,1.7,0.899999999999999,0.800000000000004,2.9,-1.9,-0.5
2019-06-18,2019-06-18 08:54:00,"6","RM",42.2,44.5,40.5,38.5,33.5,34.6,0.899999999999999,0.299999999999997,0.5,0.5,0.100000000000001,-4.1
2019-06-18,2019-06-18 08:54:00,"7","CT",41.2,46,42.9,38.6,36.6,35.4,1.4,0.100000000000001,1,0.300000000000004,1.4,0.100000000000001
2019-06-18,2019-06-18 08:55:00,"8","PN",41.3,40.5,43.5,34.2,34,36.7,0,1.3,0.100000000000001,-1.3,-3,-0.5
2019-06-18,2019-06-18 08:56:00,"9","RM",38.4,38.6,36.3,36.5,34.6,38.6,1.6,0,1.8,0.399999999999999,-0.100000000000001,-0.900000000000006
2019-06-19,2019-06-19 08:46:00,"1","CT",39.8,40,42.7,37.7,37.7,37,1.10383275261324,1.60557491289199,0.903135888501741,1.50522648083624,-0.702439024390247,1.10383275261324
2019-06-19,2019-06-19 08:46:00,"2","PN",42.2,40.7,40.6,37.7,37.5,36.4,1.60557491289199,2.50871080139373,0.401393728222995,1.70592334494774,2.40836236933798,-0.602090592334496
