"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00297","Taxa00297","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00298","Taxa00298","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00299","Taxa00299","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00300","Taxa00300","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00301","Taxa00301","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00302","Taxa00302","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00303","Taxa00303","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","","","","",""
"Taxa00304","Taxa00304","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00305","Taxa00305","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00306","Taxa00306","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00307","Taxa00307","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00308","Taxa00308","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00309","Taxa00309","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00310","Taxa00310","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00311","Taxa00311","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00312","Taxa00312","Eukaryota","","","","","Phaeophyceae","","","","","","","","","","","","","","",""
"Taxa00313","Taxa00313","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00314","Taxa00314","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00315","Taxa00315","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00316","Taxa00316","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00317","Taxa00317","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Lutzia","","Lutzia vorax",""
"Taxa00318","Taxa00318","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00319","Taxa00319","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00320","Taxa00320","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00321","Taxa00321","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00322","Taxa00322","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00323","Taxa00323","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00324","Taxa00324","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00325","Taxa00325","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Culex","Culex tritaeniorhynchus",""
"Taxa00326","Taxa00326","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","","","",""
"Taxa00327","Taxa00327","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00328","Taxa00328","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Thysanoptera","Terebrantia","","","Thripoidea","Thripidae","Thripinae","","","","",""
"Taxa00329","Taxa00329","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","","Tanytarsus tamagotoi",""
"Taxa00330","Taxa00330","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa00331","Taxa00331","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00332","Taxa00332","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","","","","","","","","","","","",""
"Taxa00333","Taxa00333","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00334","Taxa00334","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Culex","Culex tritaeniorhynchus",""
"Taxa00335","Taxa00335","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Mammalia","","","Euarchontoglires","Primates","Haplorrhini","Simiiformes","Catarrhini","","","","","","","",""
"Taxa00336","Taxa00336","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00337","Taxa00337","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00338","Taxa00338","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00339","Taxa00339","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00340","Taxa00340","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00341","Taxa00341","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00342","Taxa00342","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00343","Taxa00343","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00344","Taxa00344","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00345","Taxa00345","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00346","Taxa00346","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00347","Taxa00347","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00348","Taxa00348","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Aculeata","","Formicoidea","Formicidae","Formicinae","Lasiini","Lasius","Lasius","",""
"Taxa00349","Taxa00349","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00350","Taxa00350","Bacteria","","","Bacteroidetes","","","","","","","","","","","","","","","","",""
"Taxa00351","Taxa00351","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00352","Taxa00352","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00353","Taxa00353","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00354","Taxa00354","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","","","","","",""
"Taxa00355","Taxa00355","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Aculeata","","Formicoidea","Formicidae","","","","","",""
"Taxa00356","Taxa00356","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00357","Taxa00357","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00358","Taxa00358","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","Encyrtidae","Encyrtinae","","Copidosoma","","",""
"Taxa00359","Taxa00359","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00360","Taxa00360","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00361","Taxa00361","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00362","Taxa00362","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00363","Taxa00363","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00364","Taxa00364","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00365","Taxa00365","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","","","","",""
"Taxa00366","Taxa00366","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00367","Taxa00367","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00368","Taxa00368","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00369","Taxa00369","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00370","Taxa00370","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00371","Taxa00371","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00372","Taxa00372","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00373","Taxa00373","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00374","Taxa00374","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00375","Taxa00375","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00376","Taxa00376","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00377","Taxa00377","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00378","Taxa00378","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00379","Taxa00379","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00380","Taxa00380","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00381","Taxa00381","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00382","Taxa00382","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","Oxyinae","","Oxya","","",""
"Taxa00383","Taxa00383","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","","","","","","","",""
"Taxa00384","Taxa00384","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","",""
"Taxa00385","Taxa00385","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","",""
"Taxa00386","Taxa00386","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa00387","Taxa00387","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa00388","Taxa00388","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00389","Taxa00389","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00390","Taxa00390","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00391","Taxa00391","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00392","Taxa00392","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00393","Taxa00393","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00394","Taxa00394","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00395","Taxa00395","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00396","Taxa00396","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00397","Taxa00397","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00398","Taxa00398","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00399","Taxa00399","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00400","Taxa00400","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00401","Taxa00401","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00402","Taxa00402","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00403","Taxa00403","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00404","Taxa00404","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00405","Taxa00405","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","","",""
"Taxa00406","Taxa00406","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00407","Taxa00407","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00408","Taxa00408","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00409","Taxa00409","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00410","Taxa00410","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00411","Taxa00411","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00412","Taxa00412","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Sternorrhyncha","","","Psylloidea","Psyllidae","","","","","",""
"Taxa00413","Taxa00413","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00414","Taxa00414","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","","",""
"Taxa00415","Taxa00415","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00416","Taxa00416","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00417","Taxa00417","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00418","Taxa00418","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00419","Taxa00419","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","","","","","","","","","","","",""
"Taxa00420","Taxa00420","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00421","Taxa00421","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00422","Taxa00422","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00423","Taxa00423","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00424","Taxa00424","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00425","Taxa00425","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00426","Taxa00426","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00427","Taxa00427","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00428","Taxa00428","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00429","Taxa00429","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00430","Taxa00430","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Auchenorrhyncha","Fulgoromorpha","","Fulgoroidea","Delphacidae","Delphacinae","","Nilaparvata","","Nilaparvata lugens",""
"Taxa00431","Taxa00431","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00432","Taxa00432","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00433","Taxa00433","Eukaryota","","","","","Chrysophyceae","","","","Chromulinales","","","","","Paraphysomonadaceae","","","Paraphysomonas","","Paraphysomonas sp.",""
"Taxa00434","Taxa00434","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00435","Taxa00435","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Thysanoptera","Terebrantia","","","Thripoidea","Thripidae","Thripinae","","","","",""
"Taxa00436","Taxa00436","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00437","Taxa00437","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00438","Taxa00438","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00439","Taxa00439","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00440","Taxa00440","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00441","Taxa00441","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00442","Taxa00442","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00443","Taxa00443","Eukaryota","","","Bacillariophyta","","Bacillariophyceae","","","","Bacillariales","","","","","Bacillariaceae","","","Nitzschia","","Nitzschia palea",""
"Taxa00444","Taxa00444","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","Araneae","Araneomorphae","","","Araneoidea","Theridiidae","","","Phycosoma","","Phycosoma mustelinum",""
"Taxa00445","Taxa00445","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00446","Taxa00446","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00447","Taxa00447","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00448","Taxa00448","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00449","Taxa00449","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00450","Taxa00450","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00451","Taxa00451","","","","","","","","","","","","","","","","","","","","",""
"Taxa00452","Taxa00452","","","","","","","","","","","","","","","","","","","","",""
"Taxa00453","Taxa00453","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00454","Taxa00454","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00455","Taxa00455","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00456","Taxa00456","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscoidea","Dytiscidae","Colymbetinae","Colymbetini","Rhantus","","Rhantus suturalis",""
"Taxa00457","Taxa00457","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00458","Taxa00458","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00459","Taxa00459","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00460","Taxa00460","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00461","Taxa00461","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00462","Taxa00462","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00463","Taxa00463","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00464","Taxa00464","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00465","Taxa00465","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00466","Taxa00466","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00467","Taxa00467","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00468","Taxa00468","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00469","Taxa00469","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","Eriophyidae","Eriophyinae","Aceriini","Aceria","","Aceria tosichella",""
"Taxa00470","Taxa00470","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00471","Taxa00471","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00472","Taxa00472","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00473","Taxa00473","Eukaryota","","","Cryptophyta","","","","","","","","","","","","","","","","",""
"Taxa00474","Taxa00474","","","","","","","","","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00475","Taxa00475","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00476","Taxa00476","Eukaryota","","","Rhodophyta","","Florideophyceae","","","","","","","","","","","","","","",""
"Taxa00477","Taxa00477","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00478","Taxa00478","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00479","Taxa00479","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00480","Taxa00480","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00481","Taxa00481","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
