"query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","tribe","genus","species"
"Taxa00499","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00500","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00501","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Nevskiales","","Sinobacteraceae","","Nevskia","uncultured Nevskia sp."
"Taxa00502","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00503","","","","","","","","","","","",""
"Taxa00504","Bacteria","","","Verrucomicrobia","Spartobacteria","","Chthoniobacterales","","Chthoniobacteraceae","","Chthoniobacter",""
"Taxa00505","Bacteria","","","","","","","","","","",""
"Taxa00506","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Nitrospirillum","Nitrospirillum amazonense"
"Taxa00507","Bacteria","","","","","","","","","","",""
"Taxa00508","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00509","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00510","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Sterolibacteriaceae","","",""
"Taxa00511","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00512","Bacteria","","","Proteobacteria","Betaproteobacteria","","Rhodocyclales","","Azonexaceae","","",""
"Taxa00513","Eukaryota","Viridiplantae","","Chlorophyta","Trebouxiophyceae","","","","","","Choricystis",""
"Taxa00514","Bacteria","","","Chlamydiae","Chlamydiia","","Parachlamydiales","","Simkaniaceae","","Simkania","uncultured Simkania sp."
"Taxa00515","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodobacterales","","Rhodobacteraceae","","",""
"Taxa00516","Bacteria","","","Proteobacteria","Betaproteobacteria","","Rhodocyclales","","Azonexaceae","","Dechloromonas",""
"Taxa00517","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00518","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00519","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","","","",""
"Taxa00520","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00521","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Burkholderia",""
"Taxa00522","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Prosthecobacter",""
"Taxa00523","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Bradyrhizobiaceae","","",""
"Taxa00524","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00525","Bacteria","","","Proteobacteria","Oligoflexia","","","","","","",""
"Taxa00526","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Sediminibacterium",""
"Taxa00527","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Methylophilaceae","","",""
"Taxa00528","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Asticcacaulis",""
"Taxa00529","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00530","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00531","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter","uncultured Geobacter sp."
"Taxa00532","Bacteria","","","Proteobacteria","Deltaproteobacteria","","","","","","",""
"Taxa00533","Bacteria","","","Proteobacteria","Epsilonproteobacteria","","Campylobacterales","","Campylobacteraceae","","",""
"Taxa00534","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00535","Bacteria","","","Acidobacteria","Acidobacteriia","","","","","","",""
"Taxa00536","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Cytophaga",""
"Taxa00537","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00538","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00539","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00540","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium","uncultured Clostridium sp."
"Taxa00541","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","",""
"Taxa00542","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","",""
"Taxa00543","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","","","",""
"Taxa00544","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Luteolibacter",""
"Taxa00545","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00546","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00547","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00548","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00549","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rickettsiales","","Anaplasmataceae","","",""
"Taxa00550","Bacteria","","","","","","","","","","",""
"Taxa00551","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00552","","","","","","","","","","","",""
"Taxa00553","Bacteria","","","Actinobacteria","Actinobacteria","","Frankiales","","Sporichthyaceae","","",""
"Taxa00554","Bacteria","","","Elusimicrobia","Elusimicrobia","","","","","","",""
"Taxa00555","Bacteria","","","","","","","","","","",""
"Taxa00556","","","","","","","","","","","",""
"Taxa00557","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Legionellales","","Legionellaceae","","Legionella",""
"Taxa00558","Bacteria","","","Proteobacteria","Gammaproteobacteria","","","","","","",""
"Taxa00559","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Holosporales","","","","",""
"Taxa00560","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium",""
"Taxa00561","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Rhizobiaceae","","",""
"Taxa00562","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Cytophaga",""
"Taxa00563","Bacteria","","","","","","","","","","",""
"Taxa00564","Bacteria","","","","","","","","","","",""
"Taxa00565","Eukaryota","Viridiplantae","","Streptophyta","","","","","","","",""
"Taxa00566","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium",""
"Taxa00567","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Gemmataceae","","",""
"Taxa00568","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfovibrionales","","Desulfovibrionaceae","","Desulfovibrio",""
"Taxa00569","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00570","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00571","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00572","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00573","Bacteria","","","Proteobacteria","Deltaproteobacteria","","","","","","",""
"Taxa00574","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Moraxellaceae","","Acinetobacter",""
"Taxa00575","Eukaryota","","","","","","","","","","",""
"Taxa00576","Bacteria","","","Bacteroidetes","Bacteroidia","","","","","","",""
"Taxa00577","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus",""
"Taxa00578","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00579","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00580","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cyclobacteriaceae","","Algoriphagus",""
"Taxa00581","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rickettsiales","","Anaplasmataceae","","",""
"Taxa00582","Bacteria","","","Verrucomicrobia","","","","","","","",""
"Taxa00583","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00584","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00585","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00586","Bacteria","","","","","","","","","","",""
"Taxa00587","Bacteria","","","Verrucomicrobia","Spartobacteria","","","","","","","uncultured Spartobacteria bacterium"
"Taxa00588","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00589","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium",""
"Taxa00590","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Ohtaekwangia","uncultured Ohtaekwangia sp."
"Taxa00591","Bacteria","","","Chloroflexi","","","","","","","",""
"Taxa00592","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus",""
"Taxa00593","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Rhizobiaceae","","Kaistia",""
"Taxa00594","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus","uncultured Opitutus sp."
"Taxa00595","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","",""
"Taxa00596","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Sphaeropleales","","Selenastraceae","","",""
"Taxa00597","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00598","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00599","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","",""
"Taxa00600","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00601","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00602","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas",""
"Taxa00603","Bacteria","","","Proteobacteria","Deltaproteobacteria","","","","","","",""
"Taxa00604","Bacteria","","","Firmicutes","Bacilli","","Bacillales","","Bacillaceae","","",""
"Taxa00605","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00606","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Cellvibrionales","","Cellvibrionaceae","","Cellvibrio",""
"Taxa00607","","","","","","","","","","","",""
"Taxa00608","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00609","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00610","Bacteria","","","","","","","","","","",""
"Taxa00611","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus","uncultured Opitutus sp."
"Taxa00612","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","",""
"Taxa00613","Bacteria","","","Bacteroidetes","Bacteroidia","","","","","","",""
"Taxa00614","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00615","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Spirosoma",""
"Taxa00616","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Arcicella",""
"Taxa00617","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00618","Archaea","","","Euryarchaeota","","","","","","","",""
"Taxa00619","Bacteria","","","","","","","","","","",""
"Taxa00620","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00621","","","","","","","","","","","",""
"Taxa00622","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00623","Bacteria","","","","","","","","","","",""
"Taxa00624","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00625","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobia subdivision 3","","Pedosphaera","uncultured Pedosphaera sp."
"Taxa00626","Bacteria","","","Proteobacteria","Gammaproteobacteria","","","","","","",""
"Taxa00627","Bacteria","","","","","","","","","","",""
"Taxa00628","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00629","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","",""
"Taxa00630","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00631","Bacteria","","","Proteobacteria","Betaproteobacteria","","Rhodocyclales","","","","",""
"Taxa00632","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00633","Bacteria","","","Firmicutes","","","","","","","",""
"Taxa00634","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00635","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Legionellales","","Legionellaceae","","Legionella","uncultured Legionella sp."
"Taxa00636","Bacteria","","","Actinobacteria","Acidimicrobiia","","Acidimicrobiales","","Iamiaceae","","Iamia","uncultured Iamia sp."
"Taxa00637","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","",""
"Taxa00638","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00639","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","",""
"Taxa00640","Bacteria","","","","","","","","","","",""
"Taxa00641","Bacteria","","","Firmicutes","","","","","","","",""
"Taxa00642","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Caulobacter",""
"Taxa00643","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfovibrionales","","Desulfovibrionaceae","","Desulfovibrio",""
"Taxa00644","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","",""
"Taxa00645","Bacteria","","","","","","","","","","",""
"Taxa00646","Bacteria","","","","","","","","","","",""
"Taxa00647","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00648","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","Desulfosporosinus",""
"Taxa00649","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00650","Bacteria","","","Actinobacteria","Actinobacteria","","Micrococcales","","Micrococcaceae","","",""
"Taxa00651","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter","uncultured Geobacter sp."
"Taxa00652","Bacteria","","","","","","","","","","",""
"Taxa00653","","","","","","","","","","","",""
"Taxa00654","","","","","","","","","","","",""
"Taxa00655","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00656","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","",""
"Taxa00657","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter",""
"Taxa00658","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium",""
"Taxa00659","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","",""
"Taxa00660","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Lacibacter",""
"Taxa00661","Bacteria","","","Firmicutes","Bacilli","","Bacillales","","Paenibacillaceae","","Paenibacillus",""
"Taxa00662","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","","","",""
"Taxa00663","Eukaryota","","","","Oomycetes","","Pythiales","","Pythiaceae","","",""
"Taxa00664","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00665","Bacteria","","","Proteobacteria","Deltaproteobacteria","","","","","","",""
"Taxa00666","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00667","","","","","","","","","","","",""
"Taxa00668","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Comamonadaceae","","",""
"Taxa00669","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00670","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00671","Eukaryota","Viridiplantae","","Streptophyta","","","","","","","",""
"Taxa00672","Bacteria","","","Proteobacteria","","","","","","","",""
"Taxa00673","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Methylocystaceae","","Pleomorphomonas",""
"Taxa00674","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","",""
"Taxa00675","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfovibrionales","","Desulfovibrionaceae","","Desulfovibrio",""
"Taxa00676","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00677","Bacteria","","","Actinobacteria","Coriobacteriia","","Coriobacteriales","","","","",""
"Taxa00678","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium",""
"Taxa00679","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00680","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00681","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rickettsiales","","","","",""
"Taxa00682","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00683","Bacteria","","","Firmicutes","","","","","","","",""
"Taxa00684","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Sterolibacteriaceae","","",""
"Taxa00685","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Erwiniaceae","","",""
"Taxa00686","","","","","","","","","","","",""
"Taxa00687","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium","uncultured Clostridium sp."
"Taxa00688","Bacteria","","","","","","","","","","",""
"Taxa00689","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00690","Archaea","","","Euryarchaeota","Methanomicrobia","","Methanomicrobiales","","Methanospirillaceae","","Methanospirillum",""
"Taxa00691","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Methylophilaceae","","Candidatus Methylopumilus","Candidatus Methylopumilus turicensis"
"Taxa00692","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Novosphingobium",""
"Taxa00693","Bacteria","","","","","","","","","","",""
"Taxa00694","Bacteria","","","","","","","","","","",""
"Taxa00695","","","","","","","","","","","",""
"Taxa00696","Bacteria","","","Firmicutes","Bacilli","","Lactobacillales","","Streptococcaceae","","Lactococcus",""
"Taxa00697","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","Sphingomonas",""
"Taxa00698","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00699","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Limnobacter",""
"Taxa00700","Bacteria","","","Verrucomicrobia","Opitutae","","Opitutales","","Opitutaceae","","Opitutus",""
"Taxa00701","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00702","Bacteria","","","","","","","","","","",""
"Taxa00703","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00704","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Bradyrhizobiaceae","","",""
"Taxa00705","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00706","Bacteria","","","Firmicutes","","","","","","","",""
"Taxa00707","Eukaryota","","","","","","","","","","",""
"Taxa00708","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","Polynucleobacter",""
"Taxa00709","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Peptococcaceae","","",""
"Taxa00710","Eukaryota","","","","","","","","","","",""
"Taxa00711","Bacteria","","","","","","","","","","",""
"Taxa00712","Bacteria","","","","","","","","","","",""
"Taxa00713","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00714","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","",""
"Taxa00715","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00716","Eukaryota","Viridiplantae","","","","","","","","","",""
"Taxa00717","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Legionellales","","Legionellaceae","","Legionella",""
"Taxa00718","","","","","","","","","","","",""
"Taxa00719","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Xanthobacteraceae","","Pseudolabrys",""
"Taxa00720","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00721","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter","uncultured Geobacter sp."
"Taxa00722","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfovibrionales","","Desulfovibrionaceae","","Desulfovibrio",""
"Taxa00723","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00724","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","","","",""
"Taxa00725","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","uncultured Alphaproteobacteria bacterium"
"Taxa00726","Bacteria","","","Firmicutes","Clostridia","","","","","","",""
"Taxa00727","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00728","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Methylococcales","","Methylococcaceae","","Methylococcus","uncultured Methylococcus sp."
"Taxa00729","Archaea","","","Thaumarchaeota","","","Nitrosopumilales","","Nitrosopumilaceae","","Nitrosopumilus","uncultured Candidatus Nitrosopumilus sp."
"Taxa00730","Bacteria","","","","","","","","","","",""
"Taxa00731","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00732","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","",""
"Taxa00733","Bacteria","","","","","","","","","","",""
"Taxa00734","Bacteria","","","Proteobacteria","Oligoflexia","","Bdellovibrionales","","Bdellovibrionaceae","","Bdellovibrio","uncultured Bdellovibrio sp."
"Taxa00735","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00736","Bacteria","","","Cyanobacteria","","","","","","","",""
"Taxa00737","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfovibrionales","","Desulfovibrionaceae","","Desulfovibrio",""
"Taxa00738","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","",""
"Taxa00739","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00740","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Legionellales","","Legionellaceae","","Legionella","uncultured Legionella sp."
"Taxa00741","Bacteria","","","","","","","","","","",""
"Taxa00742","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Magnetospirillum",""
"Taxa00743","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Morganellaceae","","Arsenophonus",""
"Taxa00744","","","","","","","","","","","",""
"Taxa00745","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00746","Bacteria","","","Actinobacteria","Actinobacteria","","Micrococcales","","Microbacteriaceae","","",""
"Taxa00747","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Acetobacteraceae","","",""
"Taxa00748","Bacteria","","","Proteobacteria","Gammaproteobacteria","","","","","","",""
"Taxa00749","Bacteria","","","Firmicutes","Negativicutes","","","","","","",""
"Taxa00750","Bacteria","","","Proteobacteria","Deltaproteobacteria","","Desulfuromonadales","","Geobacteraceae","","Geobacter","uncultured Geobacter sp."
"Taxa00751","Bacteria","","","Proteobacteria","Deltaproteobacteria","","","","","","",""
"Taxa00752","Bacteria","","","","","","","","","","",""
"Taxa00753","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Cytophaga",""
"Taxa00754","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","","","",""
"Taxa00755","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rickettsiales","","Rickettsiaceae","Rickettsieae","",""
"Taxa00756","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Enterobacterales","","Enterobacteriaceae","","",""
"Taxa00757","Bacteria","","","Firmicutes","Bacilli","","Lactobacillales","","","","",""
"Taxa00758","Bacteria","","","Acidobacteria","Acidobacteriia","","","","","","",""
"Taxa00759","Bacteria","","","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas",""
"Taxa00760","Bacteria","","","Proteobacteria","Betaproteobacteria","","Nitrosomonadales","","Methylophilaceae","","Methylotenera",""
"Taxa00761","Bacteria","","","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Sediminibacterium",""
"Taxa00762","Eukaryota","","","Bacillariophyta","Bacillariophyceae","","Naviculales","","","","",""
"Taxa00763","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","","","",""
"Taxa00764","Bacteria","","","","","","","","","","",""
"Taxa00765","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Sphaeropleales","","Scenedesmaceae","","Tetradesmus","Tetradesmus obliquus"
"Taxa00766","Bacteria","","","Firmicutes","Clostridia","","Clostridiales","","Clostridiaceae","","Clostridium","uncultured Clostridium sp."
"Taxa00767","Bacteria","","","Candidatus Melainabacteria","","","Vampirovibrionales","","","","Vampirovibrio","uncultured Vampirovibrio sp."
"Taxa00768","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","",""
"Taxa00769","Bacteria","","","Planctomycetes","Planctomycetia","","Planctomycetales","","Isosphaeraceae","","Singulisphaera","uncultured Singulisphaera sp."
"Taxa00770","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","","","",""
"Taxa00771","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","",""
